Word:,Definition:
acknowledged father,"A child's biological father who is not married to the mother, but has signed a voluntary declaration of paternity or an agreement with the mother, or has said he is the father. An acknowledged father has parental rights and a duty to support the child."
acknowledgment of satisfaction of judgment,"A court form that the judgment creditor must fill out, sign, and file with the court when the judgment is fully paid. If no liens exist, the back of the Notice of Entry of Judgment can be signed and filed with the court."
acknowledgment,"Saying, testifying, or assuring that something is true. You can say this out loud or write it down."
acquisition of citizenship,When a child not born in the U.S. becomes a U.S. citizen because one or both of the child's parents are U.S. citizens. A child's ability to acquire citizenship depends on his/her year of birth.
acquittal,When a judge or jury finds that the person on trial is not guilty.
act of God,"An earthquake, tornado, or other unexpected and extraordinary natural event, or the sudden death of a person that serves as a defense or valid excuse for not providing a service or performing a duty."
action,"In court, when one person sues someone else to (a) defend or enforce a right, (b) stop something bad from happening or fix something, or (c) punish them for a crime."
actionable,A situation with enough supporting facts to meet the requirements to file a legitimate lawsuit.
active status,A case that is in court but has not been decided or settled yet.
actual damages,Money awarded by the court to compensate a person or business for their loss or injury.
ad litem,"A court may appoint a guardian ad litem, who is usually a lawyer, to help someone who may have difficulty making decisions such as a child or a mentally disabled person. A guardian ad litem does not represent their client in court. "
addendum,A document attached to another document(s) to provide more information.
adjourn,"To temporarily end or delay a meeting, gathering or court appearance. "
adjournment,Putting off a court hearing until another time or place.
adjudicate,When a judge hears and decides a case.
adjudication,The judge’s decision in a case or action.
administrative procedure,The steps or process that must be gone through when making an administrative decision.
administrator,"A person appointed by a probate court to distribute the property of someone who died without a will, or with a will that did not name anyone for this task."
admissible evidence,Evidence that the judge can legally allow to be used in court.
admission,Saying that certain facts are true.
admit,"1. In civil cases, a defendant admits or denies the truth of each allegation filed with the court. An admitted allegation does not need to be proved in trial. 2. In a criminal case, to agree that a fact is true or to confess guilt."
admonish,"To warn, advise, or scold."
admonition to jury,"What the judge says to the jury about: (1) what they must do and how they must behave, (2) what evidence they can use to make a decision (called ""admissible"" evidence), and (3) how they can use that evidence to make a decision."
adopt,To become the legal parent to another person's child.
adoption,The way to make the relationship between a parent and child legal when they are not related by blood.
adoptive parent,"An adult who meets all the requirements to legally adopt a non-biological child, and who assumes all parental responsibilities for that child."
adultery,"Sexual relations between a married person and another adult who is not that person's spouse. In some states, where fault grounds for divorce is allowed, adultery can impact how the divorcing couple's property is divided."
advance directive,A legal document that says what kinds of medical care you want if you become unable to speak for yourself and who you authorize to speak for you.
advance parole,A person who is in the U.S. without a visa who is allowed to leave the U.S. temporarily without having his/her application canceled while he or she is away.
adversary system,"The legal system in the U.S. and other common law countries, where two opposing sides can present their case to an impartial judge."
adverse witness,A person called to testify against their own interests or wishes.
AFDC,Aid to Families with Dependent Children
affiant,Someone who signs an affidavit and affirms its truth to a notary public or person authorized to take oaths.
affidavit,"A written statement that someone swears to under oath in front of someone that is legally authorized, like a judge or notary public."
affirm,To agree with all or part of a lower court's decision in the same case.
affirmation,When an appellate court says that the lower court’s decision was right.
affirmative action,"Policies intended to meet certain inclusion goals for members of historically disadvantaged groups in employment, contracting, educational, and other areas."
affirmative defense,"When a defendant, or person responding to a civil case, introduces new information as a defense instead of just denying what the other person says. "
affirmed,When the Court of Appeals has decided that a lower court decision is correct.
age discrimination,"Treating an employee or employment applicant who is at least 40 years old, less favorably because of his or her age."
agency,"The relationship of a person (called the agent) who acts on behalf of another person, company, or government (called the principal)."
agent,Someone who is legally allowed to speak and act on behalf of another person.
aggravate,To make more serious or severe.
aggravated assault,Physically attacking another person and causing serious bodily harm sometimes with a deadly or dangerous weapon.
agreement,"An understanding between 2 or more people about a particular issue, including their obligations, duties, and rights."
aleatory,"Depending on an uncertain event, such as when an insurance contract depends on a certain event, like a fire or earthquake."
alias,"A name used that is not the given name of a person (such as Harry for Harold, initials, or a maiden name, or an entirely different name)."
alibi witness,A person who confirms a defendant's reason for not having been able to commit the crime s/he was accused of.
alibi,A defense claim that the accused was somewhere else at the time a crime was committed.
alien registration number,"A 7-, 8- or 9-digit number assigned to a legal permanent residents by the Department of Homeland Security."
alien,Any person not a citizen of the U.S..
alimony,Money the court orders you to pay to a spouse or ex spouse.
allegation,A statement or claim that is made and has not been proved to be true or false.
allege,"To say, declare, or charge that something is true even though it isn’t proved yet."
allot,To assign or divide shared property among those entitled to have a part or portion.
alternative dispute resolution,Methods of resolving disputes without official court proceedings. These methods include mediation and arbitration.
ambiguity,Can refer to language in an agreement that has more than one meaning.
amend,To add to or change a claim that has been filed in court.
amended complaint,"An updated complaint, petition, or pleading that is filed to correct facts, add new claims, or change some other part of the original complaint."
amicus curiae,"Someone that gives advice to the court about the law in a case, but isn’t part of the case. Comes from the Latin for ""friend of the court."""
amnesty,"Forgiveness given to a group of individuals by the government, usually before a trial."
ancillary administration,A probate court trial in a state that is not the state where the dead person lived before s/he died. Usually necessary if the person who died owned property in that state.
ancillary jurisdiction,"In certain situations, a federal court can decide issues that are not normally under its jurisdiction."
annuitant,A person who receives benefits from a pension or annuity.
annulment,"A legal action that says your marriage was never legally valid because of unsound mind, incest, bigamy, being too young to consent, fraud, force, or physical incapacity."
anonymous,When someone’s name is kept secret.
answer,An official response to claims made in a lawsuit.
anticipatory breach,An action that shows one person or party in a contract does not intend to do what the contract requires.
antilapse statute,A law that passes property given in a will to the heirs of a beneficiary if the original beneficiary dies before the will's creator.
antitransfer laws,"Laws that penalize people who are eligible for benefits, such as SSI and Medicaid, and give their benefits to others who are not eligible."
antitrust laws,"Laws intended to promote healthy market conditions and fair competition by penalizing unlawful restraints, price fixing, and monopolies."
appeal,"When someone that loses at least part of a case asks a higher court (called an ""appellate court"") to review the decision and say if it was right. "
appearance,A scheduled time when parties in a case or their attorneys are formally heard in court.
appellant,Someone that appeals a court’s decision.
appellate court,A higher court that reviews the decision of a lower court when a losing party files an appeal.
appraisal,An expert's estimate of what something is worth.
appreciation,"When an asset, usually real property, increases in value over time, and not because of any improvements or additions made."
approach,When a lawyer moves towards a judge in a courtroom to speak with the judge and lawyer from the other side off the record or so the jury cannot hear.
arbiter,Someone with the legal authority to decide out-of-court disputes.
arbitrary,"Based on individual opinion or wish, not supported by fair cause or reason."
arbitration,"An out-of-court process that is similar to a trial, but less formal and usually quicker."
argument,A presentation that summarizes the law and facts regarding an issue.
arraignment,"When a person that is accused of committing a crime is (a) taken to court, (b) told about the charges, and (c) asked to plead ""guilty"" or ""not guilty""."
arrears,"Child support that is overdue or unpaid. A parent that has arrearages is ""in arrears."""
arrest,The legal capture of a person that is charged with a crime.
assessor,A public officer who assigns a taxable value to real estate parcels and collects those taxes.
assets,"Property of any kind, including cash, financial accounts, real property, and personal property."
assignee,"A person or business that is put in the place of the original creditor, such as a collection agency. You can assign your judgment to another person or business."
assignment order,"A court order (made after a motion) that says a judgment debtor must assign certain rights to the judgment creditor. Useful for payments that the judgment debtor would usually get, like rent from tenants, wages from the federal government, sales commissions, royalties, a business’s accounts receivable, or installment payments on IOUs (also called ""promissory notes"") or judgments."
assisted suicide,When someone helps another person who is terminally sick or incapacitated to commit suicide. Assisted suicide is against the law in most U.S. states.
associate justice,"All of the judges of the U.S. Supreme Court, except the Chief Justice."
assume,"To accept the rights or obligations of another person, for example, a car lease or debt."
assured,A person or entity that is insured.
asylee,A foreigner who arrives in the U.S. asking for protection because it is dangerous for him/her to be in the home country.
asylum,A legal status sometimes given foreigners arriving in the U.S. asking for protection because it is dangerous for him/her to be in the home country.
at issue memorandum,A legal paper filed in a civil case that says the case is ready to go to trial.
at-will employment,"A kind of employment that allows the employee to quit at any time and the employer to fire an employee at any time, except for legally protected reasons, like race or disability."
attachment,1. Document attached to court papers to give more information.
attempt,"To start, but not complete a crime, such as attempted murder, robbery, or arson. Attempted crimes usually have a less severe punishment than completed crimes."
attest,"To confirm, orally or in writing, that something is true."
attorney of record,The lawyer whose name is listed in a case record as representing someone in the case.
attorney,Someone that is qualified to represent clients in court and to give them legal advice.
attractive nuisance,"A dangerous condition on a landowner's property that may attract and endanger children, like a swimming pool without a fence around it."
audit,When records or accounts are looked at to check that they are right and complete.
authority,"Power to take some action or to tell others what to do. For example, you may sign a living will that gives another person the power to speak for you."
automated voice response system,Phone system that gives information to people over the phone.
automatic stay,"An order that stops something from happening, for example, if you file for bankruptcy creditors, the creditors must immediately stop trying to collect payment from you."
award,The decision to give money to a person or party in a case
backlog,All the cases that haven’t been settled or decided in the time the law says they should be.
bail bond,"A legal paper that you buy from a bondsman and give to the court instead of bail. The defendant signs it and is let go. But if they don’t come to court when they’re supposed to, they must pay the amount of money on the bail bond."
bail exoneration,"When you get your bail back. Or when a bail bondsman or insurance (""surety"") company isn’t responsible for your bail anymore."
bail forfeiture,A court order to let the court keep the bail deposit because the defendant didn’t go to court when they were supposed to.
bail notice,A legal paper from the court that says the court will make a warrant for arrest unless the defendant goes to court or pays bail.
bail schedule,"A list of the amount of bail that is recommended for different charges. In criminal cases, the court decides how much bail a defendant has to pay to be released."
bail,A security deposit (usually money) given to release a defendant from custody and to make sure that they go to court when they’re supposed to.
bailiff,A person that is in charge of security in the court.
balance due,"The amount of debt still owed on a particular account, mortgage, or note. It may or may include interest."
bank levy,"Way to enforce a decision against someone that owes money. The money is taken from their checking or savings account at a bank, savings and loan, thrift institution, or credit union."
bank,An institution that loans money and accepts deposits for savings.
bankruptcy administrator,A person or corporation that administers bankruptcy cases in Alabama or North Carolina (called Bankruptcy Trustee in the other 48 states).
bankruptcy code,"The informal name for the federal bankruptcy law, Title 11, U.S. Code."
bankruptcy court,A unit of each U.S. district court to handle bankruptcy cases.
bankruptcy judge,A judge of the U.S. district court who decides bankruptcy cases.
bankruptcy petition,A formal request that asks for protection under the federal bankruptcy laws.
bankruptcy proceedings,The way a bankruptcy case makes its way through the court system from the time the bankruptcy petition is filed until the case is finalized.
bankruptcy trustee,A private individual or corporation that administers bankruptcy cases.
bankruptcy,"The legal way for a business or person to get help when they can’t pay the money they owe. In bankruptcy court, they can get rid of debts by paying part of what they owe. There are special bankruptcy judges at these hearings."
bar,"All of the lawyers qualified to practice law. For example, a state bar includes all of the lawyers qualified to practice law in that state."
bargain,"An agreement between two parties in which something of value is exchanged for something the other party wants. To be valid, the agreement must not involve an illegal transaction and the consideration must be sufficient and legal."
battery,"Unwanted physical contact, physical violence or physical control of a person without their permission."
behavior intervention plan,"Plan made by a local educational agency (LEA), as part of a student's individualized education program (IEP). The goal of the plan is to change the student's violent or destructive behavior."
bench trial,Trial without a jury. The judge decides the case.
bench warrant,"An order given by the judge (or ""bench"") to arrest a person."
bench,"The desk and chair (not an actual bench) where a judge sits in the courtroom. Sometimes bench means judge, for example, a bench trial, means a trial by a judge, without a jury. And to ""approach the bench,"" means to move closer to the judge."
beneficiary,"A person or organization with a right to receive benefits, for example from a will, life insurance policy, or public agency."
benefit (government),"Payment or goods from a government program, such as Social Security, workers compensation, or unemployment."
bequeath,To leave personal property through a will. Compare: devise.
bequest,"Personal property, except real estate, left under a will."
bias,"A decisionmaker's predisposition for or against a someone or a particular group of people involved in a case. Bias may be related to discriminatory attitudes, personal opinions, financial dealings, or personal knowledge of someone in the case."
bifurcated trial,A trial that is divided into two stages to separate the legal issues. One of the issues will be decided before the other.
bigamy,"Having 2 spouses at the same time. In most states, if the bigamy was intentional, it is also a crime."
bind,To make yourself or someone else legally responsible for something.
binder,A temporary insurance policy that provides coverage until the permanent policy takes effect.
bird-nesting,A custody arrangement in which the children of divorcing parents stay in the family home and the parents take turns living there with them.
blind trust,A trust that is managed by a trustee for someone who will not share specific information about the trust with the beneficiary. Blind trusts are often set up for elected officials to avoid conflicts of interest.
blocked account,An account with a financial institution in which money or securities are placed. No person may withdraw funds from a blocked account without the court's permission.
bona fide,"Sincere, real, without fraud or deceit. Comes from the Latin for ""in good faith."""
bond,"A deed or legal paper that restrains a person or makes a person responsible for something. In court, a bond is a written statement that makes one person obligated to pay another person money, in certain circumstances."
booking,"What the police do when they arrest someone. Includes taking fingerprints, photographs, and writing down personal information about the person."
bookkeeper,A person who records financial information for a business.
breach,A violation of a legal obligation or duty.
breath test,Testing someone’s breath to see how much alcohol is in their blood.
bribery,The crime of giving or accepting money (or something else of value) to influence a person's actions.
brief,A written statement that each side gives the court to say why the court should decide that they are right.
burden of proof,The duty to prove or disprove the facts in a case.
burden,"A duty or obligation, o a restriction on activity or use, for example, a zoning restriction can be a burden on the property owner in that zone."
burglary,"When someone unlawfully breaks into or enters a building or home, and they intend to or do commit a theft or other serious crime."
bylaws,"A corporation's rules for meetings, elections, and other administrative processes."
bypass trust,"A trust for married couples that lowers the federal estate tax burden. When the first spouse dies, the trust is split in two. One part of the trust becomes the bypass trust because the property it holds is not taxed when the second spouse dies."
C-corporation,"A common business structure, in which the business income is taxed separately from its owners' income."
cafeteria plan,A benefit program that offers a variety of insurance options to employees.
calculate,"evaluate, compute"
calendar call,"A hearing when many cases are scheduled for the same time, and a judge will schedule each of them based on its specific status."
calendar,1. A list of cases scheduled for a particular court.
call option,"An option to buy a particular commodity or security at a fixed price for a certain amount of time. Sometimes simply called a ""call."""
call,To ask a witness to step forward and testify.
calumny,"Malicious misrepresentation of another's words or acts, causing injury to that person's reputation."
cancel,To invalidate a document by writing cancelled or void on it.
caning,A punishment for crimes used in some countries in which the convicted person is lashed with a cane or rod.
canon law,"The laws of a church or religion, especially the Catholic Church, that specify the powers of the clergy, administration of the church, and church ceremonies."
Cap-Gap Extension,Allows foreign students applying for H-1B status to extend their status and work permit through Sept. 30 if their employment start date for the H-1B status will start on Oct. 1.
cap,"A common term for maximum, such as the most interest that can be charged, or the maximum number of years to be served in prison."
capital account,"A record of the assets invested in a business by the owners or stockholders, including retained earnings. It indicates the net worth of the business at a given time."
capital asset,"Any property owned by a business with a useful life of more than one year, such as a computer or truck."
capital case,"A case where the defendant can get the death penalty. In a capital case, the state must charge one or more ""special circumstances,"" such as multiple murders, use of a bomb, or a finding that the murder was especially heinous, atrocious, or cruel. If a jury finds the special circumstances to be true, the defendant can be sentenced to death."
capital expenditure,"A business expense for a capital asset or improvements to increase its value or extend its useful life, such as fixtures, machinery, or property, but not for day-to-day operations like payroll, inventory, maintenance, and advertising."
capital gains,"Profit on the sale of a capital asset, such as stock or real estate."
capital offense,"A criminal charge that is punishable by the death penalty. These crimes vary from state to state, but often include premeditated murder, murder with special circumstances, rape with additional bodily harm, and treason."
capital punishment,A death sentence.
capital stock,The original investment in a corporation; it is not directly related to the present value of stock or the value of corporate assets.
capital,"A business's basic assets, or the owners' investment in a business."
capitalized expenditure,An expense made that is deducted from business income over more than one year.
capitalized interest,Interest on a loan that is added to the principal balance.
capitalized value,"The current value of an asset, based on the income it is expected to generate over its economic life span."
capricious,"Unpredictable and subject to sudden change of mind that is unusual or unexplained, often used to refer to a judge's decision that seems arbitrary."
caption,"A heading required on all court documents that lists the court, case number, document name, and names of everyone involved in the case."
cargo insurance,A type of insurance that pays the beneficiary of the policy if covered freight is damaged or lost during transit.
carnal knowledge,Sexual intercourse that includes penetration of the woman's vagina by the man's penis. Carnal knowledge is a necessary legal part of many sexual crimes.
carrier,"Any business that transports property or people for a fee. There are two kinds of carriers: a common carrier (its regular business is to provide transport) and a private carrier (not in the business of providing transport, but agrees to make a delivery or carry a passenger in a specific instance)."
carryback,A way to receive a refund of back taxes by applying a deduction or credit from a current year to a previous year.
carryover basis,The tax basis of a person who receives a gift that makes his/her status the same as the giver's.
cartel,"A group of independent businesses or other entities that join together to set prices, control distribution, or reduce competition. Many cartels operate secretly, especially because they are illegal under U.S. antitrust laws."
CASA,Court Appointed Special Advocate. A volunteer who gets special training to help the court with children in juvenile dependency cases. They provide information to judges to help them make decisions that are in the child’s best interest.
case file,A complete collection of every document filed in a court case.
case flow management,How a case is managed from the first paper filed to the final decision.
case ID,Identification number given to a case by the court.
case law,Law made by earlier decisions that judges made in similar cases.
case number,"Identification number that the court clerk’s office gives a case. This number is on all papers filed in the case. Also called ""case ID."""
case system,"The usual method of teaching law in the U.S., which requires the students to read and outline (brief) appellate opinions (cases), then discuss them in class lectures."
case,A lawsuit or dispute that is processed in court or similar resolution method.
caseload,The number of cases a judge or an attorney has in a specific time.
cashier's check,A check from a bank (not an individual) that guarantees it will be paid.
casual domestic employment,Periodic work provided by an individual in a private home.
casual labor,Work provided on a one-time or irregular basis by workers who are usually independent contractors not employees. Casual labor is not a legally recognized category.
casualty loss,"A loss of money or property due to a sudden, unexpected, or unusual event, like a storm, flood, fire, shipwreck, or earthquake."
casualty,"An accident or event that could not have been avoided or predicted, or the loss caused by that event."
category,"A kind, class, or group."
cause of action,"The charges (or ""counts"") that make up the case or lawsuit."
caveat emptor,"A theory that says you buy things at your own risk. Comes from the Latin for ""let the buyer beware."""
CBP,"An abbreviation for U.S. Customs and Border Protection, an agency of the Department of Homeland Security."
cease,stop
census,An official count of the number of people living in a certain area. The U.S. Constitution requires the federal government to perform a national census every 10 years.
Certificate of Eligibility for Exchange Visitor (J-1) Status (Form DS-2019),A State Department document that supports an application for an exchange visitor visa (J-1). The visitor's sponsor must prepare it through the Student and Exchange Visitor Information System (SEVIS).
"Certificate of Eligibility for Nonimmigrant (F-1) Student Status, for Academic and Language School (Form I-20)",A Department of Homeland Security document that supports an application for a student visa (F-1 or M-1) The student's school must prepare it through the Student and Exchange Visitor Information System (SEVIS).
certification mark,"A name, symbol, or other device used by an organization that certifies origin, material, mode of manufacture, quality, accuracy, or other characteristics."
certification,A first step in a class action in which a court decides that the action is suitable for a class action.
certified check,"A check guaranteed by a bank, promising that the maker of the check has enough money in the account to cover the check amount."
certified copy,"An official copy of a paper from a case file that is marked as being true, complete, and a real copy of the original paper."
CFR,"An abbreviation for the Code of Federal Regulations, the rules and regulations that all federal agencies and the Executive must follow."
challenge for cause,Reasons that a lawyer gives for removing a juror or judge from a case.
challenge,Someone’s right to object to or fight something in a legal case.
chambers,A judge’s office. Also usually where the judge’s clerks work.
champerty,"The basis for contingency fee arrangements with attorneys, who represent their clients and are paid from any settlement the plaintiff receives from the case."
chancellor,"A judge in a chancery (equity) court with the power to order that something be done, but cannot order a defendant to pay damages. Almost all U.S. states' courts combine chancery (equity) functions and law."
chancery,"A court of equity, in which a judge can order something be done, but cannot order a defendant to pay damages. No jury trials are available in a chancer court."
change of venue,When a court case is moved to a different kind of court or different geographical area.
Chapter 11,A kind of bankruptcy case in which a business or person asks to reorganize its debts so that it can keep its business alive and pay creditors over time.
Chapter 12,A kind of bankruptcy case in which a family farmer or family fisherman asks the court to adjust its debts.
Chapter 13,"A kind of bankruptcy case in which a person, whose income is from wages, asks the court to adjust his/her debts so that s/he may keep property and pay his/her debts from income earned over time, usually 3-5 years."
character witness,A person who testifies in court about another person's good character and reputation in the community. This kind of testimony may be used in criminal and civil cases where a person's honesty or morality is an issue.
charging document,"Sometimes called a complaint or Information, it is a list of each charge against a defendant."
chattel,"A piece of personal property. Clothing, televisions, and cars are chattel. Chattel does not include a house or land."
Child Abduction Prevention Order,A court order that limits where a parent may travel with his/her children.
child abuse,"Hurting a child physically, sexually or emotionally."
child advocate,Someone appointed by the judge to help a child in a court case. The advocate can be a child welfare expert or a lawyer.
child custody evaluation,"An investigation into the health, safety, and welfare of children, usually in a custody or visitation case."
child custody mediation,"A meeting guided by a trained professional, who tries to help parents make decisions about a parenting plan for their children."
child custody,The legal rights and responsibilities that parents have for their child(ren). This term is also often used to describe who the children live with.
child maltreatment,Child abuse and/or neglect.
child neglect,Not taking good care of a child. Neglect can be physical or emotional.
Child Protective Services,"A state agency that investigates reports of child abuse and neglect. If CPS finds abuse or neglect, they open a child protection case, and a caseworker makes a plan to help the family."
child support,"Money paid by a non-custodial parent to help support a child. Child support can also include other expenses, like paying to keep health insurance for the child or day care costs."
churning,Excessive and illegal activity on a client's financial account to create commissions for the account manager.
circuit court ,The principal trial court in many states.
circumstantial evidence,"Indirect evidence, testimony not based on actual personal knowledge or observation of the facts in dispute."
citation,A court order or summons that lists the charges and tells a defendant to go to court and/or post bail.
cite,To refer to a law or a decision in another case.
cited,"When a defendant is not in custody but has signed a ticket promising to go to court on a certain day; can be used for any infraction, city or county ordinance, or misdemeanor."
citing authority or agency,"An agency related to the court, like the city police or the California Highway Patrol, that can arrest people for breaking the law."
citizen's arrest,"An arrest made by a private citizen, not a police officer. Citizens arrests are legal in some situations, such as when a private citizen witnesses a violent crime and then detains the perpetrator."
citizen,"A person who, by place of birth, nationality of one or both parents, or having successfully completed any applicable requirements, is granted full rights and responsibilities as a member of a nation or political community. Some countries allow dual citizenship (maintaining citizenship in more than one country)."
civil case,"A lawsuit to get property back, to force someone to complete a contract, or to protect someone’s civil rights."
civil code,"In many states, the name for the collection of statutes and laws that deal with business and negligence lawsuits and practices."
civil jurisdiction,"A court’s right or power to hear noncriminal (""civil"") cases."
civil law,"1. A generic term for all non-criminal law, usually relating to settling disputes between private citizens."
civil liability,A legal obligation usually to pay for damages or other court-enforced payment.
civil liberties,"Rights granted to the people by the Constitution (primarily based on the First Amendment), to speak freely, think, assemble, organize, worship, or petition without government interference or restraints."
civil procedure,"The rules in both state (usually Code of Civil Procedure) and federal (Federal Code of Procedure) laws that specify the format and process for civil lawsuits. Civil procedure is only about form and procedure, not the substantive law that gives people the right to sue or defend a lawsuit."
civil process,Court papers that tell all the people in a civil case that it has started.
civil rights,"Rights guaranteed by the Bill of Rights, the 13th, 14th, 15th, and 19th Amendments to the Constitution. Civil rights include civil liberties, such as the freedom of speech, press, assembly, and religion, as well as due process, the right to vote, equal and fair treatment by law enforcement and the courts, and the opportunity to enjoy the benefits of a democratic society, such as equal access to public schools, recreation, transportation, public facilities, and housing."
civil surgeon,"A medically trained, licensed and experienced doctor practicing in the U.S. who is certified by USCIS (U.S. Citizenship and Immigration Service). These doctors receive specific immigration training for physical exams, as required by the CDC and USCIS. Exams not done by a Civil Surgeon in the U.S. are not accepted by USCIS."
civil union,"A legal relationships, similar to marriage, that is available in many states. Typically, it provides the same rights and responsibilities as a marriage but for same-sex couples who register their civil union."
claim of exemption,A court paper filed by a judgment debtor that lists each piece of property that the judgment debtor claims is protected (exempt) from being taken.
claim splitting,Splitting a civil claim into separate cases to stay below the legal limit of how much money you can ask for. This practice is generally not allowed.
claim,A creditor's statement that s/he has a right to payment from a debtor or the debtor's property.
claimant,A person who files a claim.
class action,A lawsuit in which one or more members of a large group of similarly situated people sues on behalf of the entire group (class).
class,"A group of people who are similarly situated, for example people who were harmed by a certain product."
clean room,A method of developing proprietary material in which an isolated development team is monitored. The purpose is to provide evidence that similarities to others works or products are due to legitimate constraints and not copying.
cleaning fee,"A nonrefundable fee charged by a landlord when a tenant moves in. The fee covers the cost of cleaning the rented unit after the tenant moves out, even if the tenant leaves the place spotless. Cleaning fees are illegal in some states. Landlords in all states are allowed to use the security deposit to repair damage to the unit."
clear title,Ownership of property that is not disputed. Clear title is needed before property can be sold.
clearly erroneous,"A standard of review in civil appellate proceedings. Under this standard, an appeals court must accept the lower court's findings of fact unless the appellate court is firmly convinced that a mistake has been made."
clerk of court,"A person chosen by the judges to help manage cases, keep court records, deal with court fines and payments, and give other administrative support."
clerk,"1. An official or employee who handles the business of a court, maintains files of each case, and issues routine documents. Some clerks work in courtrooms to update court records and help the judge by providing information from the records."
close corporation,"A corporation owned and operated by a small number of people, often members of the same family, rather than by public shareholders."
closed shop,"A business that hires only union members either by choice or by agreement with the unions, although the Labor-Management Relations Act made closed shops illegal."
closing argument,"A speech made at trial after all the evidence has been presented. The closing argument reviews and summarizes the evidence, and forcefully explains why the verdict should be in favor of the arguing party. "
closing costs,"All charges (above and beyond the actual cost of the property) that home buyers (or sellers) need to pay at the close of escrow when the property is transferred. These typically include lender's fees and points or prepaid interest, a prorated share of the property taxes, transfer taxes, credit check fees, homeowners' and title insurance premiums, deed filing fees, real estate agent commissions, inspection and appraisal fees, and attorney's fees. Some closing costs are tax-deductible."
closing,"The final step in a real estate transaction, in which the seller's deed of title is exchanged for the buyer's payment. Some of the final documents, including the deed and mortgage or deed of trust, are then recorded in the county recorder's office. Depending on local practice, the closing is handled by a title company, escrow officer, or attorney. Also called settlement."
Code of Federal Regulations,A list of rules published in the Federal Register by the Executive departments and agencies of the federal government.
code,"A collection of written laws, often grouped by subject matter. A state may have separate codes such as a civil code, corporations code, evidence code, penal code, etc."
codefendant,One of two or more defendants charged with the same crime or sued in the same case. Also called joint defendant.
codicil,A legal paper that adds to or changes a will.
codify,The process of arranging and labeling a system of laws.
cohabitant,A person who lives with another person.
cohabitation,"Living together in the same home either as spouses or unmarried partners. In some states, cohabitation may be a reason to end alimony, on the assumption that a person cohabiting with another no longer needs the support of a former spouse."
Cohan rule,A federal court decision that allows taxpayers in certain situations to estimate deductible expenses when their records are missing. It cannot be used for travel or entertainment business expenses.
coho,"A term for a person living in a tenancy-in-common or co-housing arrangement with others. Also, short for ""cohousing,"" a type of shared housing."
coinsurance,A form of insurance in which a person insures property for less than its full value and agrees to be responsible for the difference. Essentially the owner and the insurance company share the risk.
collaborative divorce,"A method of resolving a divorce case in which both spouses hire collaborative law attorneys and agree to negotiate the divorce through a series of four-way meetings, often with the help of custody evaluators, appraisers, or accountants. If the divorce cannot be settled through these meetings and one party files for divorce in court, both lawyers must withdraw and the spouses must hire new lawyers. This provides a financial incentive for settling."
collateral estoppel,A legal doctrine that says that a judgment in one case prevents the people in that case from suing for the same issues in another case. It protects defendants from being sued for the same issue more than once.
collateral,Property that is promised as security for the payment of a debt.
collection agency,A company hired by a creditor to collect a debt. Creditors typically hire a collection agency only when they have not been able to collect the debt on their own.
collective bargaining,Negotiations between an employer and an organized group of employees (union) about pay and other conditions of employment.
collective mark,"A name, symbol, or other device used by members of an organization to identify its goods or services and membership in that organization."
collusion,"Secret cooperation between two people or entities intended to defraud or gain an unfair advantage, for example, price-fixing by companies supposed to be competitors."
