Word:,Definition:
grounds for divorce,The legal basis for a divorce. The law sets out specific circumstances under which a divorce will be granted. 
headnote,Brief paragraph which summarizes the points of law discussed in a decision.
hearkening,"One of the two ways that trial jurors are asked whether they agree with a verdict. In hearkening, the jurors are asked in open court and as a group whether they agree with the verdict."
hearsay,"Evidence that is not based on a witness’s personal knowledge but, rather, on what someone else said."
holding over,Retaining possession as a tenant after the end of the term.
immunity from prosecution,Protection from prosecution in exchange for testimony that might not otherwise be forthcoming.
in re,"""In the matter of"" This is often used in the caption (top of page) of legal papers filed in court. It summarizes what or who the legal case is about."
indictment,"A written accusation alleging that a defendant has committed a crime, which is issued by a grand jury and filed in circuit court. The indictment tells the defendant what he or she is being charged with, so the defendant can prepare a defense."
informal dispute settlement,"Also sometimes called non-binding arbitration. It is one type of alternative dispute resolution. It is an informal process in which two parties present their views of a dispute to a neutral third party, called a ""Hearing Officer,"" who will make a non-binding decision on how to resolve the dispute. This means that the parties may still file a lawsuit on this case with a court."
injunction,"A court order directing the defendant to do or not to do a particular thing. Failure to obey an injunction constitutes contempt of court, which is punishable by fine or imprisonment."
interrogatories,"Written questions designed to discover key facts about an opposing party's case, that a party to a lawsuit asks an opposing party."
involuntary separation,The living apart of a married couple for 12 months without agreeing to separate or divorce.
judge,An official of the Judicial branch of government with the authority to preside over and decide cases brought before the court.
judgment,A court's decision.
judicial notice,Act by which a court will recognize the existence of a certain fact without the production of substantiating evidence.
jurisdiction,The authority of the court to hear a case.
juror qualification form,A form that is sent to prospective jurors whose names are randomly selected from one of the lists used by the county/Baltimore City. It is used to help determine if the recipient is qualified to be a juror. 
juror summons,"A notice sent to a prospective juror, instructing the prospective juror to report for jury duty on a specific date and time."
jury,"A group of citizens of the State, randomly selected according to law, which sits as either a grand jury or a trial jury."
jury instructions,The directions given by the trial judge to the trial jury after all the evidence has been presented. 
jury office,The office in a circuit court for a county/Baltimore City that administers the court’s jury selection and jury services.
jury plan,"The plan adopted by a circuit court for a county/Baltimore City, in accordance with Maryland law, to govern that court’s jury selection and jury services."
jury selection,The process for determining the qualified jurors who will serve as the jury (including alternates) for a particular case.
land installment contract,"An agreement in which the buyer agrees to buy a dwelling that he will occupy or a lot which will be used for residential purposes, the purchase price will be paid in five or more installments in addition to the down payment, and the seller retains title to the property as security for the buyer's obligation."
large group dispute resolution facilitator,Facilitation is often used when there are many interested parties or stakeholders and it differs from mediation.
law review,A legal journal published and edited by law school students; legal scholars and students contribute articles.
lawer referral service,A Bar Association service that provides the name of an attorney who will consult with a party briefly for a reasonable fee.
lease,"An oral or written agreement, express or implied, which creates a landlord-tenant relationship."
lease option agreement,"A lease that contains a clause that gives the tenant some power, either qualified or unqualified, to buy the landlord's interest in the property."
lessee,A tenant; one who enjoys the property by virtue of a lease.
lessor,A landlord; one who grants the lease.
lien,"A charge or claim on property belonging to another, for the satisfaction of a debt or duty."
limited divorce,Establishes certain legal responsibilities while the parties are separated but does not end the marriage.
limited liability partnership,"This is one of the ways that a business can be organized. This is a business owned by two or more partners. However in this type of arrangement, each partner is liable (responsible) only for the negligent (careless) acts that s/he personally commits. S/he is also liable for the negligent (careless) acts of the employees who s/he directly supervises. "
liquidated damages,A specific sum of money which has been agreed upon by the parties to a lease (or other contract) as the amount of damages to be paid by a party who has breached the agreement.
magistrate,Hears cases like a judge. A magistrate's decision is reviewed by a judge before becoming final.
marital property,"Includes ALL property acquired during the marriage, even if not titled in both names, with some exceptions. "
marital breach,"A breach (violation, failure to perform) which is important, substantial, not trivial."
mediation,One type of alternative dispute resolution. A neutral person called a “mediator” is a trained professional who helps the disputing parties to find a solution to which all parties can agree. 
memorandum opinion,Brief holding of the whole court with the opinion limited or omitted.
mortgage,A pledge of specific property as security for the payment of a debt. The mortgagor is the person who pledges the property. The mortgagee accepts the pledge.
motion,A request to the court.
notice to quit,"A written notice given by landlord to tenant, indicating that tenant must move from the premises at a time designated."
oath,"A solemn declaration or statement (or pledge), made under penalty of perjury, in which the person swears to the truth of what is stated or to the faithful performance of what is undertaken. A person whose conscience does not permit her or him to swear can instead affirm."
oath clerk,The grand jury officer responsible for swearing in witnesses before they testify.
official reports,Collections of decisions published by or on behalf of the deciding jurisdiction.
opening statements,The statements made by the lawyers for each side at the beginning of a trial to the jury (or to the judge in a trial without a jury). The lawyer presents what he or she intends to prove in the trial. Opening statements are not evidence.
opinion,"The official written statement of a case, the court’s decision and its reasons for reaching the decision it did."
option,The right to make a choice; a purchased privilege which gives the holder the power to make the agreement.
ordinance,"The local legislation of a city, town, village, or county written by the local legislative body."
parties,"The opposing sides in a case. In a civil case, the parties are the plaintiff and the defendant. In a criminal case, the parties are the State of Maryland and the defendant"
partnership,This is one of the ways that a business can be organized. A general partnership involves two or more people who are personally liable (responsible) for all business debts. 
pendente lite,"Temporary arrangements for custody, child support, child visitation, alimony, use and possession of the family home, etc., until a final hearing."
per curium opinion,Opinion of the whole court as distinguished from an opinion written by a specific judge.
per diem,"As related to jury service, the payment or reimbursement received by a person for each day he or she is on jury service."
peremptory challenge,One of the two kinds of challenges (or objections) that can be made to a person on the jury panel. A peremptory challenge is made without giving a reason.
personal property,"Movable property or possessions, as distinguished from real property."
personal representative,"Usually, the executor or administrator of a deceased person."
petit jury,"A trial jury, also known as a petit jury, decides whether the defendant committed the crime as charged in a criminal case, or whether the defendant injured the plaintiff in a civil case. "
petition,A legal paper that starts a case.
plaintiff,"The person (or persons) who brings a case to court. In a criminal case, the State of Maryland is the plaintiff."
pleadings,Formal written statements by the parties to a lawsuit indicating their respective claims and defenses which are filed with the court.
polling of jury,"One of the two ways that trial jurors are asked whether they agree with a verdict. In polling, each individual juror is asked in open court whether he or she agrees with the verdict."
power of attorney,A document authorizing another person to act as one's agent.
precedent,An example of authority for a later case which is similar or identical.
prima facie,Presumed to be true unless disproved by contrary evidence.
private process server,"Any person over 18, not directly involved in the case, who will deliver the Summons and a copy of the plaintiffs Complaint, and later return to the Court an affidavit that he or she has completed service."
pro se,"Pronounced “Pro Say,” representing yourself in court without an attorney."
probable cause,"In criminal law, reasonable grounds to believe that a person committed a crime."
prospective juror,"A person whose name has been randomly selected from one of the lists used by a county/ Baltimore City to identify residents to call for jury service, and who has not yet been screened for disqualification, excusal or exemption."
protective order,Non-criminal order obtained by abused spouse against abusive spouse.
qualified juror,"A prospective juror who is not disqualified, excused or exempted."
quiet enjoyment,Covenant of quiet enjoyment - assures that the tenant may peaceably enter on the leased premises at the beginning of the lease term and that the landlord will not interfere with tenant's enjoyment of the premises.
real property,Land or buildings.
reconciliation,Married people getting back together.
record extract,"On appeal, the record consists of a transcript of all or a portion of the proceedings in lower courts, including testimony, pleadings, opinions, etc."
remand,To send back; return of a case by an appellate court to the trial court for further proceedings.
renewal of summons,An attempt to try again to serve the defendant with the Summons and Complaint
replevin,"This is a type of legal lawsuit. It is common in disputes between sellers and buyers of movable goods. In a replevin action, one side asks the court to order the return of the goods from the other side. A similar type of case for return of property is called “detinue”."
reports,Printed statement of an opinion of the court which is in writing and is published.
res judicata,"""The thing has been decided"". It usually refers to the the legal doctrine that says once a court decision (or other determination) is final, the same parties cannot go to court again about the same issue."
rescind,"To annul, cancel, terminate a contract, including a lease, and to restore the parties to the position they would occupy if no contract had been made."
resident agent,A person that a sheriff can walk up to and hand a summons to in order to get jurisdiction over the entity for court. It may or may not be one of the owners or officers. In some cases this can be a Maryland corporation. In all cases the address must be a physical address (no P.O. boxes). “
respondant,"In juvenile court this is the person charged with a crime. In adult court this person is called the ""defendant."""
rest,When a lawyer has voluntarily finished presenting the evidence that he or she will present at that stage of the trial.
secretary,"The grand jury officer who records indictments, presents them to the foreperson for signature and keeps the grand jury attendance records."
separation,The living apart of a married couple.
separation agreement,"An oral or written agreement to live apart, entered into by a married couple."
sequester,"To separate or set apart. As applied to a trial jury, the very rare circumstance in which the jury is kept separate from the public. It is done so that the jury’s unbiased opinion is not jeopardized by outside influences. Sequestration may happen during the entire trial or only when the jury deliberates. Jurors on a sequestered jury spend the night at lodging assigned by the court."
service,Providing a copy of the papers being filed to the other side.
settlement,"Resolving the dispute, without a judge's ruling, a mutually acceptable out-of-court agreement between the defendant and the plaintiff."
settlement conference facilitator,"A settlement conference is part of a court case where the parties and a judge (or neutral third person) meet and try to resolve the case without going through a trial. A settlement conference facilitator is a person who is neutral, that is, a person who does not have a stake in the dispute. A neutral party does not take the side of any of the people who have the dispute. The settlement conference facilitator helps you and the other parties evaluate the strengths and weaknesses of their case. The facilitator will sometimes give his or her own views about the merits of the case and what s/he believes would be a reasonable resolution of the conflict. A settlement conference facilitator is often an attorney or a judge."
spouse,Wife or husband
squatter,"Someone who settles on the property of another, without legal authority to do so and without the consent of the person who has the right of possession of the property."
standing,"A party's ability to bring a lawsuit in court because that party has a stake in the outcome of the case. In order to demonstrate standing to sue, a party must show that 1) it has suffered or will suffer injury if it does not bring suit, 2) the injury is a result of the defendant's conduct, and 3) a finding in the party's favor is likely to remedy the injury."
stare decisis,The doctrine that decisions should stand as precedents for guidance in future cases.
state prosecutor,"The State Prosecutor investigates violations of certain State laws such as election and public ethics laws. The Office was established in 1976, by amendment to the Maryland Constitution, as an independent unit within the Office of the Attorney General."
state's attorney,The attorney elected by the people of a county/Baltimore City to represent the State of Maryland in criminal actions.
statute,A written law passed by the Legislature
statute of limitations,"Law that requires that all claims must be filed within a certain period of time [usually three (3) years from the time the claim arose]. Contact an attorney to find out whether the Statute of Limitations has ""run"" on your case. If it has, this would mean that the case will be dismissed without a hearing. A defendant may raise the statute of limitations with the judge at trial to try to have the case dismissed."
stipulation,"An agreement made between opposing parties prior to a pending hearing or trial. For example, both parties might stipulate to certain facts, and therefore not have to argue those facts in court. After the stipulation is entered into, it is presented to the judge."
sublease,A lease of the premises granted by one who himself is a tenant of the premises.
subpoena,A form issued by the court requiring someone to appear in court and testify.
subpoena duces tecum,A court order requiring the person to appear in court and to bring specified documents or other items.
summary ejectment,"A court proceeding, in which one person goes to court to regain possession of real estate that is held by another. For example, a landlord may request summary ejectment to oust a tenant when there has been a violation of the lease that allows eviction or tenant has failed to pay rent or the lease has expired and the tenant refuses to leave."
summons,"An official court notice telling the person who received it that he or she must appear in court. For a defendant, a summons also provides official notice that he or she is being sued."
testimony,The statements made by a witness on the stand and under oath or affirmation.
third party claim,A claim filed by a defendant who feels that some third party (not yet involved in the case) is responsible and owes him or her money that should be used to satisfy any judgment the plaintiff may win from the defendant.
tort,"Injury caused by negligence or wrongful act of another person, which cannot be classified as a breach of contract."
transcript,"The official record of a legislative, administrative, or court proceeding. It is mainly comprised of the word-for-word testimony of witnesses and arguments by advocates and presiding officers."
trespass,"A wrongful entry, whether with force or peacefully, onto the property of another."
trial jury,"A group of citizens of this State, randomly selected according to law, whose duty is to hear a case in court, make a decision on matters of fact, and return a verdict. In Maryland, there are generally 12 jurors for criminal cases and six jurors for civil cases, not including alternates. A trial jury was traditionally called a “petit jury”."
uncontested divorce,"When the defendant is not going to try to stop the divorce and there are no issues for the court to decide about children, money, or property."
unofficial reports,A court report published by a private publisher in addition to the official version done on behalf of deciding jurisdiction.
unsecured debt,A debt that is not tied to any item of property. A creditor doesn't have the right to grab property to satisfy the debt if you default. The creditor's only remedy is to sue you and get a judgment.
use and possession,"The right of the parent who has custody of a minor child of the marriage to remain in the family home for up to three years from the date of divorce, under certain circumstances."
venue,"Where the courts in Maryland have jurisdiction, venue refers to the correct court location for a case to be heard. Usually it is the judicial district and location where the defendant lives or does business or is employed or where a corporation has its main office."
verdict,The decision of a trial jury or a judge (if the case is tried without a jury) that determines the guilt or innocence of the defendant in a criminal case or the final outcome in a civil case.
visitation,The right of a separated or divorced parent to visit a child.
voir dire,"A French expression, meaning “to see, to say”; traditionally, the term given to jury selection."
voluntary separation,The living apart for 6 or 12 months of a married couple who agrees to separate.
warrant of restitution,An order of the court requiring that a specific person be restored to his original position.
witness,One who is called to court to testify in order to tell what he or she knows about the case.
writ of possession,"An order of the court directed to the sheriff, requiring him to enter the property and give possession of it to the person entitled to it by judgment of the court."
writ of summons,"A form issued by the court directing a party to respond to a complaint, motion, or petition."
