derechos civiles,"Derechos garantizados por la Declaración de derechos, es decir las enmiendas 13, 14, 15 y 19 de la Constitución. Los derechos civiles incluyen libertades civiles, como la libertad de expresión, de prensa, de reunión y de religión, como también de proceso debido, el derecho al voto, el tratamiento equitativo y justo por parte de las fuerzas del orden y los tribunales, y la oportunidad de gozar de los beneficios de una sociedad democrática, como el acceso equitativo a las escuelas públicas, recreación, transporte, instalaciones públicas y vivienda."
unión civil,"Una relación legal, similar al matrimonio, disponible en muchos estados. En general brinda los mismos derechos y responsabilidades que un matrimonio para parejas del mismo sexo que registran su unión civil. "
reclamo de exención,"Un documento judicial presentado por el deudor de un fallo que indica todas las propiedades para las que reclama protección (exención), es decir para que no se las quiten. "
reclamo,Una declaración efectuada por un acreedor indicando que tiene el derecho a recibir pago de un deudor o a quedarse con el bien de un deudor.
reclamante,Una persona que presenta un reclamo.
cuota de limpieza,"Una cuota no reembolsable cobrada por un propietario cuando un inquilino toma posesión de una vivienda. La cuota cubre el costo de limpiar la unidad de arriendo después de que el inquilino deje la vivienda, aunque este la deje en condiciones impecables. La cuota de limpieza es ilegal en algunos estados. En todos los estados, los propietarios pueden usar el depósito de seguridad para reparar los daños en una unidad de vivienda."
secretario del tribunal,"Una persona elegida por los jueces para ayudar a administrar los casos, mantener los expedientes judiciales, manejar los asuntos financieros y proporcionar respaldo administrativo. "
alegatos finales,"Un discurso efectuado en un juicio después de que se presentaron todas las pruebas. El alegato final repasa y resume todas las pruebas, y explica enfáticamente por qué el veredicto debería ser a favor de la parte que lo hace. En los juicios de banca (sin un jurado), es común que las dos partes renuncien al alegato final, porque se supone que a esa altura el juez ya ha tomado una decisión."
divorcio colaborativo,"Un método para resolver un divorcio en que ambos cónyuges contratan a abogados de derecho colaborativo y se ponen de acuerdo en negociar el divorcio por medio de una serie de reuniones entre las cuatro partes, frecuentemente con ayuda de evaluadores de custodia, tasadores o contadores. Si el divorcio no se puede resolver en estas reuniones, y una de las partes presenta una solicitud de divorcio en el tribunal, ambos abogados tienen que retirarse del caso y los cónyuges tienen que contratar abogados nuevos. Esto proporciona un incentivo económico para resolver el caso."
garantía,Bienes comprometidos como garantía para el cumplimiento de una deuda.
cuidado de confort,Atención médica provista para aliviar el dolor y la molestia. También se llama cuidado paliativo.
comenzar,iniciar
combinación,"La mezcla de los fondos de una persona o entidad con los de otra. Los cónyuges y socios comerciales en general puede combinar sus activos sin problemas. Pero en los estados que reconocen bienes comunitarios, los cónyuges corren el riesgo de convertir sus bienes separados en bienes comunitarios (transmutación). "
comisionado,Una persona nombrada por un tribunal para considerar y decidir ciertos tipos de casos.
cometer (delito),"1. Realizar algo, como un delito."
confinar (custodia),2. Poner a alguien bajo la custodia del alguacil.
confinar (establecimiento),3. Usar una orden del tribunal para enviar a una persona a la cárcel o a otro establecimiento.
derecho común (common law),El sistema jurídico que se originó en Inglaterra y que se usa actualmente en los Estados Unidos; se basa en la creación de principios jurídicos en una sucesión histórica de decisiones judiciales.
bienes en común,Bienes propiedad de dos o más personas.
obligaciones comunitarias,"Obligaciones comunitarias son las deudas que los cónyuges tienen en común. En la mayoría de los casos, esto incluye todas las deudas contraídas por cualquiera de los cónyuges durante el matrimonio. "
bienes comunitarios,"Los bienes comunitarios son todo lo que los cónyuges poseen en común. En la mayoría de los casos, esto incluye todos los bienes y ganancias adquiridas durante el matrimonio, con excepción de los bienes recibidos por herencia, regalo o ganancias por bienes separados que se tenían antes del matrimonio. "
servicio comunitario; servicio a la comunidad,Una condición especial impuesta por el tribunal que exige a un individuo que trabaje sin pago para una organización cívica o sin fines de lucro.
compensación,Pago por trabajo realizado o daños sufridos.
demandante,"La persona que inicia un caso contra otra persona. En un caso civil, el demandante también se llama reclamante o peticionario. En un caso penal, el demandante es el estado."
demanda,"Todos los casos civiles comienzan con un documento legal llamado demanda. (También se puede llamar reclamo, alegato inicial o petición). La demanda explica:
• Quién es el demandante y quién es el demandado;
• Cuál es el daño cometido; y
• Qué pide el demandante en compensación.  Para iniciar un caso penal se usa una “acusación”.
"
compromiso,Un acuerdo entre partes opuestas para resolver una disputa o llegar a un acuerdo en el que cada parte cede algo en vez de continuar con la disputa e ir a juicio.
obligatorio,Requerido 
acta confidencial,Información en un caso judicial que no está disponible al público. 
confiscar,"Tomar propiedad privada para uso público sin dar una indemnización razonable, como cuando el gobierno confisca un automóvil utilizado para transportar contrabando."
copia conforme,"Una copia exacta de un documento presentado ante el tribunal. Para conformar una copia, el secretario del juzgado sellará el documento con la fecha de presentación y agregará al documento cualquier nota escrita que existía en el original, como las fechas y la firma del juez.  Una copia conforme puede o no estar certificada, es decir garantizada por un tribunal o agencia gubernamental que es una copia verdadera y exacta del original."
derechos conyugales,"Los derechos íntimos del matrimonio, como confort, compañía, afección y relaciones sexuales. Algunos estados permiten que los presos tengan ""visitas conyugales"", incluyendo relaciones sexuales, con su cónyuge o pareja."
decreto de consentimiento,"Una orden del tribunal dictada después de que todas las personas del caso han llegado a un acuerdo, si el juez lo considera aceptable. "
divorcio por consentimiento,Un divorcio que se basa en el acuerdo de los cónyuges con los términos del divorcio. 
fallo por consentimiento,"Cuando las partes de un caso aceptan los términos para dar por terminado su caso, y escriben un acuerdo para que el juez lo firme. Esto se llama fallo por consentimiento."
consentimiento,Acuerdo voluntario prestado por una persona competente.
pupilo,Cuando una persona no se puede cuidar a sí misma y tiene un cuidador (llamado “tutor”) para brindar o supervisar su cuidado.
tutor del patrimonio,Una persona o empresa autorizada por el tribunal a administrar los asuntos financieros de una persona que no lo puede hacer por sí misma.
tutor de la persona,Una persona o empresa autorizada por el tribunal a cuidar y proteger a una persona que no lo puede hacer por sí misma.
tutor de un adulto,Alguien autorizado por el tribunal a cuidar a otra persona que no se puede cuidar a sí misma (llamada “pupilo”).
tutela de adultos,"En California, una actuación judicial en la que un juez nombra a alguien para que se encargue del cuidado de un adulto que no se puede cuidar a sí mismo. En otros estados se llama curatela. "
consignar,"1. Darle bienes a otro para vender; las ganancias de la venta en general se reparten entre el vendedor y el dueño original, o se ponen bajo la custodia o el cuidado de otra persona. "
consignatario,"Una persona o empresa a quien se consigna algo, típicamente bienes para vender o entregar."
consignación,"El acto de encomendar bienes a una persona o empresa, que después las vende a su nombre (y cobra una comisión por hacerlo), devolviendo aquellos bienes que no se vendieron."
consolidación de casos,Cuando se juntan dos o más casos que tienen que ver con las mismas personas. 
conspiración,"Un acuerdo entre dos o más personas para hacer algo ilegal. Para probar una conspiración, hacen falta pruebas de que las personas elaboraron el plan antes de ponerlo en acción. Para probar una conspiración penal, en general hacen falta pruebas de alguna acción evidente para llevar a cabo el plan. "
conspiración,Una persona que se pone de acuerdo con otra persona (o personas) para hacer algo ilegal.
constitución,"En general se refiere a la Constitución de EE. UU., el documento fundamental que establece el sistema legal central de nuestro país, y el carácter y la organización de su poder, y cómo dicho poder se puede ejercer."
enmienda constitucional,"Un cambio en la Constitución de EE. UU. que en general comienza como una resolución conjunta del Congreso. Para que entre en vigor, tiene que ser aprobada por dos tercios de los votos de la Cámara de Representantes y el Senado, y después ser aprobada por tres cuartas partes de las legislaturas estatales."
derechos constitucionales,"Derechos otorgados o puestos a disposición de la gente por la Constitución de EE. UU., y en particular por la Declaración de derechos."
consulado,Los consulados de EE. UU. son sucursales de las embajadas de EE. UU. en todo el mundo. La mayoría de los consulados acepta y procesa solicitudes de visa de inmigrante (tarjeta verde) y no inmigrante.
consumir,"Beber, usar."
quiebra de consumidor,"Un caso de quiebra presentado para reducir o eliminar deudas, la mayoría de las cuales son deudas por bienes o servicios."
ley de protección del crédito de consumidores (CCPA),"Ley federal que, entre otras cosas, limita cuánto dinero se puede sacar del sueldo de una persona para pagar la manutención de los hijos. "
informe sobre el consumidor,"Información proporcionada por una agencia de informes sobre el consumidor, como sus antecedentes de crédito, carácter, características personales o estilo de vida, y que se utiliza con frecuencia en decisiones de empleo, para decidir si se otorga crédito a una persona, para decidir si se ofrece un alquiler a alguien o para otro fin comercial legítimo. Algunos ejemplos de informes de consumidor son informes de antecedentes penales e informes de crédito. Para obtener un informe sobre el consumidor, el solicitante tiene que seguir el proceso estipulado por la Ley de Informe Equitativo de Crédito."
consumación,"La actualización de un matrimonio. Para “consumar” un matrimonio hay que tener relaciones sexuales. Si un matrimonio no se consuma, esto se puede usar para pedir un divorcio o anulación."
desacato,Ignorar o desobedecer una orden del tribunal intencionalmente. El desacato del tribunal se puede castigar con una multa y/o cárcel.
impugnar,"Oponerse, disputar o desafiar usando un procedimiento formal o legal. Por ejemplo, el demandado en un caso de divorcio puede disputar la solicitud del demandante."
audiencia disputada,"Si no hay acuerdo entre las partes del caso, se puede hacer un juicio, que a veces se llama audiencia disputada."
caso disputado,"Cuando ambas partes de un caso están en desacuerdo, se llama un caso disputado. "
aplazamiento,Postergación de un caso judicial para más adelante. Algunos estados han aprobado reglas de “juicio rápido” que limitan el poder de un juez para aprobar estos aplazamientos.
aplazar,postergar
contrato,Un acuerdo entre 2 o más personas u organizaciones para hacer o no algo en particular. 
contribución,"Un pago a un fondo común, o donación a una organización de caridad sin que se espere nada a cambio."
sustancia controlada,"Una droga o compuesto que la ley federal o estatal ha declarado de uso o venta ilegal, pero que se puede dispensar bajo receta. Puede ser controlada o regulada debido al peligro de adicción, daño físico o mental, la posibilidad de comercialización por medios ilegales o el peligro para aquellos que la usan."
condena,Un fallo que declara la culpabilidad de un acusado.
abogado/consejo legal,Asesoramiento legal; un término que también se usa para referirse a los abogados de un caso.
contrademanda,Un cargo independiente hecho por una parte de un caso (el demandante o demandado) que va en contra del reclamo hecho por la otra parte. (Comparar con demanda cruzada).
contrarreclamo,Un cargo independiente hecho por una parte de un caso que va en contra del reclamo hecho por la otra parte.
fiscal de condado,Un abogado que representa un condado en cuestiones civiles y litiga violaciones de las ordenanzas del condado.
calendario judicial,"Una lista de casos y audiencias que tendrán lugar en un juzgado un día, semana o mes en particular. El calendario judicial a veces se llama orden del día, calendario de juicios o lista de casos."
costos judiciales,"Las cuotas cobradas por usar los servicios del juzgado, como cuotas de presentación, cuotas de entrega legal, cuotas para pagar a un taquígrafo del juzgado para transcribir declaraciones juradas, fotocopias de los documentos de la corte, etc."
orden judicial,"Una decisión legal tomada por un tribunal que ordena o instruye que se haga o no algo. Puede ser tomada por un juez, comisionado, árbitro judicial o magistrado."
taquígrafo judicial,"Una persona que hace un registro verbal de lo que se dice en el juzgado, en general usando un equipo estenográfico, taquigrafía o grabación de audio, y después produce un acta de las actuaciones bajo pedido."
juicio ante un juez,Un juicio sin un jurado. El juez decide el caso.
aviso de cortesía,"Un aviso que se envía por infracciones de tránsito para informarle a un acusado sobre una fecha de audiencia, fianza, etc."
credibilidad,Que se puede creer.
testigo creíble,"Un testigo cuyo testimonio es creíble debido a su experiencia, conocimiento, capacitación y apariencia de honestidad y sinceridad."
consejería de crédito,"En general se refiere a dos acontecimientos en casos de quiebra: 
(1) instrucciones que debe recibir cada deudor individual antes de poder presentar una quiebra;
(2) un curso educativo en gestión de finanzas personales que un deudor individual tiene que tomar antes de que el tribunal pueda dar de baja su deuda. 
"
informe de crédito,"Un recuento escrito de los antecedentes de crédito de un consumidor, preparado por una agencia de informe de crédito. Los informes de crédito en general incluyen información sobre préstamos, tarjetas de crédito y otras facturas y cuentas, como también un registro de las direcciones y empleadores del consumidor. Para obtener y usar un informe de crédito de un consumidor, una empresa tiene que cumplir con los procedimientos de la Ley de Informe Equitativo de Crédito."
calificación de crédito,"Una calificación usada por los acreedores para evaluar el merecimiento de alguien que está solicitando un crédito, como una hipoteca o tarjeta de crédito. Las calificaciones de crédito altas (más de 700) indican un riesgo menor de mora en los pagos; las calificaciones bajas (debajo de 400) indican problemas potenciales. Las calificaciones de crédito se basan en información sobre su informe de crédito, como el historial de pago de cuentas y la deuda impaga. La compañía de calificación de crédito más grande es Fair Isaac Corporation (FICO)."
reclamo de acreedor (testamentario),"Un reclamo escrito presentado ante el tribunal testamentario por una persona o entidad a quien una persona fallecida le debe dinero. La ley estatal impone una fecha límite, en general de algunos meses, para presentar un reclamo en el tribunal testamentario. "
derechos de acreedor,Los procedimientos y derechos legales a disposición de los acreedores para cobrar deudas y fallos.
acreedor,"Una persona o empresa a quien el deudor le debe dinero, o que reclama que el deudor le debe dinero."
culpable,Digno de culpa. Responsabilidad suficiente por actos delictivos o negligencia como para tener la culpa y ser responsable por una conducta.
interferencia custodial,"Quitar un hijo de uno de sus padres como manera de interferir con la custodia física que dicho padre tiene sobre su hijo. En la mayoría de los estados esto es un delito, aunque la persona que quite al menor también tenga derechos de custodia."
padre custodial,"El padre que tiene el cuidado, custodia y control principal o exclusivo de su hijo."
mediación de custodia,Una reunión con una tercera parte neutral capacitada especialmente para ayudar a los padres a que se pongan de acuerdo en un plan de crianza para sus hijos. 
orden de custodia,"Una orden del tribunal que dice con quién vivirá un menor y quién deberá tomar las decisiones sobre la atención médica, educación y otras cosas importantes."
custodia,"El padre que tiene cuidado, custodia y control exclusivo de un hijo después de un divorcio, y con quien vive el hijo la mayor parte del tiempo. "
acecho cibernético,"Conducta acechante usando comunicaciones electrónicas o medios sociales, como Facebook. "
cobrador de deudas,Una compañía o persona que encuentra a los deudores y trata de conseguir que paguen su deuda.
deuda,"El dinero que una persona le debe a otros, o la suma total de todo lo que una persona debe a sus acreedores. "
deudor,Una persona que presentó una petición conforme al Código de Quiebras.
sucesión del difunto,Todos los bienes personales e inmuebles que la persona poseía al momento de su fallecimiento.
difunto,La persona que falleció.
fallo por falta de comparecencia o en rebeldía,Un fallo que le reconoce al demandante la medida que solicitó en su demanda porque el demandado no compareció ante el tribunal o no respondió a la demanda de alguna otra manera.
demandado,Un individuo (o empresa) contra quien se inicia un caso o una demanda.
